ExhibitionID,ExhibitionNumber,ExhibitionLabelvalue,datedebutvalue,annee_expo,datefinvalue,ExhibitionURL,Exhibitionvalue
3008.0,34c,Whistler: Portrait of the Artist's Mother,15/05/1934,1934,18/05/1934,moma.org/calendar/exhibitions/2067,Q110816159
3009.0,34d,Modern Housing Exhibition,01/06/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2068,Q110816160
3010.0,34e,Westchester Folk Art Exhibition,23/06/1934,1934,09/07/1934,moma.org/calendar/exhibitions/2933,
2609.0,34f,New Acquisitions: Lachaise Torso; Prints,11/07/1934,1934,13/09/1934,moma.org/calendar/exhibitions/1874,Q110816826
3011.0,34g,The War: Etchings by Otto Dix,30/07/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2069,Q110816827
3012.0,34h,The Making of a Museum Publication,11/09/1934,1934,07/10/1934,moma.org/calendar/exhibitions/2934,Q110816830
2971.0,34i,"New Acquisition: Brancusi, Bird in Space",13/08/1934,1934,13/09/1934,moma.org/calendar/exhibitions/2038,Q110816828
3013.0,34j,Color Reproductions: Modern Watercolors and Pastels,13/08/1934,1934,21/09/1934,moma.org/calendar/exhibitions/2070,Q110816829
3014.0,35,National Exhibition of Art by the Public Works of Art Project,19/09/1934,1934,07/10/1934,moma.org/calendar/exhibitions/2935,Q110816831
3015.0,36,Housing Exhibition of the City of New York,15/10/1934,1934,07/11/1934,moma.org/calendar/exhibitions/2071,Q110816832
2615.0,37,Modern Works of Art: 5th Anniversary Exhibition,19/11/1934,1934,20/01/1935,moma.org/calendar/exhibitions/1711,Q110816833
3016.0,37a,New Acquisitions from the Exhibition Machine Art,19/11/1934,1934,20/01/1935,moma.org/calendar/exhibitions/2072,Q110816834
2883.0,38,Gaston Lachaise: Retrospective Exhibition,28/01/1935,1935,07/03/1935,moma.org/calendar/exhibitions/1994,Q110816835
3017.0,38a,"George Caleb Bingham, the Missouri Artist, 1811–1879",28/01/1935,1935,07/03/1935,moma.org/calendar/exhibitions/2936,Q110816837
3018.0,39,African Negro Art,18/03/1935,1935,19/05/1935,moma.org/calendar/exhibitions/2937,Q110816838
3019.0,40,European Commercial Printing of Today,22/05/1935,1935,01/06/1935,moma.org/calendar/exhibitions/2080,Q110816839
2610.0,41,Summer Exhibition: The Museum Collection and a Private Collection on Loan,04/06/1935,1935,24/09/1935,moma.org/calendar/exhibitions/1710,Q110816840
2681.0,42,Fernand Léger: Paintings and Drawings,30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/1896,Q110816841
3020.0,42b,"Ignatz Wiemeler, Modern Bookbinder",30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/2938,Q110816842
3021.0,42c,Contemporary Architecture in California,30/09/1935,1935,24/10/1935,moma.org/calendar/exhibitions/2081,Q110816843
3022.0,43,The Recent Work of Le Corbusier,24/10/1935,1935,31/10/1935,moma.org/calendar/exhibitions/2082,Q110816844
2888.0,44,Vincent van Gogh,04/11/1935,1935,05/01/1936,moma.org/calendar/exhibitions/1996,
308.0,45a,Posters by Cassandre,14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/1805,Q110816845
3024.0,45b,The Architecture of Henry Hobson Richardson,14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/2083,Q110816847
2730.0,45c,"New Acquisitions: The Collection of Mrs. John D. Rockefeller, Jr.",14/01/1936,1936,16/02/1936,moma.org/calendar/exhibitions/1917,Q110816848
246.0,46,Cubism and Abstract Art,02/03/1936,1936,19/04/1936,moma.org/calendar/exhibitions/2748,Q60332815
3025.0,47,Modern Painters and Sculptors as Illustrators,27/04/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2939,Q110816849
3026.0,48,Architecture in Government Housing,08/06/1936,1936,13/07/1936,moma.org/calendar/exhibitions/2084,Q110816850
3027.0,49,Modern Exposition Architecture,08/06/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2095,Q110816851
3028.0,50,Edward Steichen's Delphiniums,24/06/1936,1936,01/07/1936,moma.org/calendar/exhibitions/2940,Q110816852
3029.0,51,Summer Exhibition: The Museum Collection and a Private Collection on Loan,20/07/1936,1936,02/09/1936,moma.org/calendar/exhibitions/2941,Q110816853
3030.0,52,New Horizons in American Art,14/09/1936,1936,12/10/1936,moma.org/calendar/exhibitions/2942,Q110816854
3031.0,53,American Art Portfolio,14/09/1936,1936,12/10/1936,moma.org/calendar/exhibitions/2943,Q110816855
3032.0,54,"John Marin: Watercolors, Oil Paintings, Etchings",19/10/1936,1936,22/11/1936,moma.org/calendar/exhibitions/2944,Q110816856
2649.0,55,"Fantastic Art, Dada, Surrealism",07/12/1936,1936,17/01/1937,moma.org/calendar/exhibitions/2823,Q60230869
2611.0,56,Vincent van Gogh,20/01/1937,1937,02/02/1937,moma.org/calendar/exhibitions/2802,Q110816858
3033.0,57,Rugs from the Crawford Shops designed by American Artists,20/01/1937,1937,02/02/1937,moma.org/calendar/exhibitions/2945,Q110816859
3034.0,58,Modern Architecture in England,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2086,Q110816860
316.0,59,Posters by E. McKnight Kauffer,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2762,Q110816861
3035.0,59a,New Acquisitions: Gifts of the Advisory Committee,10/02/1937,1937,07/03/1937,moma.org/calendar/exhibitions/2946,Q110816862
3036.0,60,Photography 1839–1937,17/03/1937,1937,18/04/1937,moma.org/calendar/exhibitions/2088,Q110816863
3037.0,61,Prehistoric Rock Pictures in Europe and Africa,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2947,Q110816864
3038.0,61a,Paintings by Paul Cézanne from the Museum,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2948,Q110816865
3039.0,61b,Color Reproductions of Paintings by Cézanne,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2949,Q110816866
3040.0,61c,Twelve Modern Paintings,28/04/1937,1937,30/05/1937,moma.org/calendar/exhibitions/2950,Q110816867
3041.0,62(1),Summer Exhibition: Painting and Sculpture from the Museum Collection and on Loan,23/06/1937,1937,04/11/1937,moma.org/calendar/exhibitions/2951,
3042.0,62(2),"Summer Exhibition: Project for a Community Center by Architects, Painters, and Sculptors Collaborative",23/06/1937,1937,04/11/1937,moma.org/calendar/exhibitions/2952,
3043.0,62(3),Summer Exhibition: A Brief Survey of the American Film,23/06/1937,1937,24/01/1938,moma.org/calendar/exhibitions/2953,
3044.0,62a,Art Through the Window,01/07/1937,1937,31/07/1937,moma.org/calendar/exhibitions/2954,
2962.0,63a,"The War, Etchings by Otto Dix and Armored Train, a Painting by Gino Severini",21/09/1937,1937,19/10/1937,moma.org/calendar/exhibitions/2926,
3045.0,63b,"New Acquisitions: Dalí, Henry Moore, Chaim Gross",08/10/1937,1937,13/11/1937,moma.org/calendar/exhibitions/2955,
3046.0,63c,Sculpture by William Edmondson,20/10/1937,1937,04/11/1937,moma.org/calendar/exhibitions/2094,
3047.0,63d,The Town of Tomorrow,20/10/1937,1937,13/11/1937,moma.org/calendar/exhibitions/2956,
3048.0,64,Paintings for Paris,08/11/1937,1937,13/12/1937,moma.org/calendar/exhibitions/2957,
306.0,65,Spanish and U.S. Government Posters,15/11/1937,1937,26/11/1937,moma.org/calendar/exhibitions/2759,
3049.0,66,Transitions and Contrasts in Painting and Sculpture,01/12/1937,1937,07/01/1938,moma.org/calendar/exhibitions/2958,
3050.0,67,The Making of a Contemporary Film,21/12/1937,1937,01/03/1938,moma.org/calendar/exhibitions/2959,
3051.0,68,The Museum Collection and Extended Loans,21/12/1937,1937,31/01/1938,moma.org/calendar/exhibitions/2960,Q110816868
3052.0,69,Drawings by European and American Artists,11/01/1938,1938,28/01/1938,moma.org/calendar/exhibitions/2961,Q110816869
3053.0,70,A New House by Frank Lloyd Wright,25/01/1938,1938,06/03/1938,moma.org/calendar/exhibitions/2962,
3054.0,71,American Folk Art,02/02/1938,1938,07/03/1938,moma.org/calendar/exhibitions/2963,Q110816870
3055.0,72,Subway Art,08/02/1938,1938,07/03/1938,moma.org/calendar/exhibitions/2964,
2973.0,73,Machine Art,07/03/1938,1938,31/03/1938,moma.org/calendar/exhibitions/2927,Q110816871
3056.0,74,Luis Quintanilla: An Exhibition of Drawings of the War in Spain,15/03/1938,1938,18/04/1938,moma.org/calendar/exhibitions/2965,
271.0,75,Alvar Aalto: Architecture and Furniture,15/03/1938,1938,18/04/1938,moma.org/calendar/exhibitions/1802,
3057.0,75a,Children's Work,04/04/1938,1938,22/04/1938,moma.org/calendar/exhibitions/2966,Q110816872
3058.0,76,Masters of Popular Painting: Modern Primitives of Europe and America,27/04/1938,1938,24/07/1938,moma.org/calendar/exhibitions/2090,
10601.0,76a,Three Centuries of American Art,24/05/1938,1938,31/07/1938,moma.org/calendar/exhibitions/3597,
11268.0,76b,Evolution of the Skyscraper,24/05/1938,1938,31/07/1938,moma.org/calendar/exhibitions/2712,Q110816873
3060.0,77,Wheaton College Competition,28/06/1938,1938,12/09/1938,moma.org/calendar/exhibitions/2967,
3061.0,78,Walker Evans: American Photographs,28/09/1938,1938,18/11/1938,moma.org/calendar/exhibitions/2968,
3062.0,79,The Prints of George Rouault,28/09/1938,1938,18/11/1938,moma.org/calendar/exhibitions/2969,
233.0,80,Useful Household Objects under $5.00,28/09/1938,1938,28/10/1938,moma.org/calendar/exhibitions/2745,
3063.0,80a,Miscellaneous Group of Loans,05/10/1938,1938,24/10/1938,moma.org/calendar/exhibitions/2970,Q110816874
3064.0,81,New Acquisitions,25/10/1938,1938,18/11/1938,moma.org/calendar/exhibitions/2971,
157.0,82,Bauhaus: 1919–1928,07/12/1938,1938,30/01/1939,moma.org/calendar/exhibitions/2735,
3065.0,83,Three Centuries of American Architecture,15/02/1939,1939,15/03/1939,moma.org/calendar/exhibitions/2093,
3066.0,84,Williamsburg Competition,28/02/1939,1939,15/03/1939,moma.org/calendar/exhibitions/2972,Q110816875
,85-89,Art in Our Time: 10th Anniversary Exhibition,10/05/1939,1939,30/09/1939,,
207.0,85,"Painting, Sculpture, Prints",10/05/1939,1939,30/09/1939,moma.org/calendar/exhibitions/2743,Q110816876
3067.0,86,Seven American Photographers,10/05/1939,1939,30/09/1939,moma.org/calendar/exhibitions/2973,Q110816877
3068.0,89,Georges Méliès: A Film Pioneer,10/05/1939,1939,30/09/1939,moma.org/calendar/exhibitions/2974,Q110890591
2731.0,90,Charles Sheeler,02/10/1939,1939,01/11/1939,moma.org/calendar/exhibitions/2855,Q110890592
3069.0,90a,Contemporary Unknown American Painters,18/10/1939,1939,18/11/1939,moma.org/calendar/exhibitions/2091,Q110890593
2706.0,91,Picasso: Forty Years of His Art,15/11/1939,1939,07/01/1940,moma.org/calendar/exhibitions/2843,Q110890595
3070.0,92,"Creative Growth, Childhood to Maturity",01/11/1939,1939,05/01/1940,moma.org/calendar/exhibitions/2975,Q110890594
2527.0,93,Useful Objects of American Design under $10.00,07/12/1939,1939,07/01/1940,moma.org/calendar/exhibitions/2788,Q110890596
10600.0,No#,Visual Analysis of the Painting by Picasso - Seated Man - 1911,01/01/1940,1940,30/01/1940,,
2751.0,94,Paintings and Sculpture from the Museum Collection,12/01/1940,1940,03/03/1940,moma.org/calendar/exhibitions/2866,Q110890598
3071.0,95,Smithsonian Competition,12/01/1940,1940,03/03/1940,moma.org/calendar/exhibitions/2976,Q110890599
2885.0,96,Twelve Favorites: Paintings Selected by Students from the Museum Collection,31/01/1940,1940,01/03/1940,moma.org/calendar/exhibitions/2911,Q110890602
3072.0,96a,Paris at War: 16 Gouaches by Bernard Lamotte,01/01/1940,1940,,moma.org/calendar/exhibitions/2977,Q110890597
2592.0,97,Modern Masters from European and American Collections,26/01/1940,1940,24/03/1940,moma.org/calendar/exhibitions/2796,Q110890600
3073.0,98,Italian Masters,26/01/1940,1940,07/04/1940,moma.org/calendar/exhibitions/2978,Q110890601
3074.0,99,Four American Traveling Exhibitions,03/04/1940,1940,28/04/1940,moma.org/calendar/exhibitions/2979,Q110890608
3075.0,100,Preview: Dance Archives,06/03/1940,1940,07/04/1940,moma.org/calendar/exhibitions/2980,Q110890603
3076.0,101,Visual and Non-Visual Expression in Art,06/03/1940,1940,01/05/1940,moma.org/calendar/exhibitions/2981,Q110890604
2917.0,102,New Acquisitions: A Gift of Modern Sculpture,06/03/1940,1940,07/04/1940,moma.org/calendar/exhibitions/2918,Q110890605
3077.0,103,The Work of Sharaku,03/04/1940,1940,01/05/1940,moma.org/calendar/exhibitions/2982,Q110890606
3078.0,104,American Designs for Abstract Film,03/04/1940,1940,01/05/1940,moma.org/calendar/exhibitions/2983,Q110890607
3079.0,105,PM Competition: The Artist as Reporter,15/04/1940,1940,07/05/1940,moma.org/calendar/exhibitions/2984,Q110890609
3080.0,106,Twenty Centuries of Mexican Art,15/05/1940,1940,30/09/1940,moma.org/calendar/exhibitions/2985,Q110890610
3081.0,107,New Acquisitions: American Painting and Sculpture,26/07/1940,1940,18/10/1940,moma.org/calendar/exhibitions/2986,Q110890611
3082.0,108,Portinari of Brazil,09/10/1940,1940,17/11/1940,moma.org/calendar/exhibitions/2987,Q110890613
3083.0,109,Machine Art; Modern Interiors; Original Costume Design,03/10/1940,1940,02/11/1940,moma.org/calendar/exhibitions/2988,Q110890612
2629.0,110,Painting and Sculpture from the Museum Collection,23/10/1940,1940,12/01/1941,moma.org/calendar/exhibitions/2813,Q110890614
3084.0,111,Forty Years of the American Dance,23/10/1940,1940,19/11/1940,moma.org/calendar/exhibitions/2989,
3085.0,112,Graphic Arts: Designing a Stage Setting,04/11/1940,1940,11/11/1940,moma.org/calendar/exhibitions/2990,Q110890617
3086.0,113,Student Work from Fourteen High Schools,11/11/1940,1940,23/12/1940,moma.org/calendar/exhibitions/2991,Q110890618
3087.0,114,"Frank Lloyd Wright, American Architect",13/11/1940,1940,05/01/1941,moma.org/calendar/exhibitions/2992,Q110890619
3088.0,115,"D.W. Griffith, American Film Master",13/11/1940,1940,05/01/1941,moma.org/calendar/exhibitions/2993,Q110890620
3089.0,116,The Ballet Today,14/11/1940,1940,05/03/1941,moma.org/calendar/exhibitions/2994,Q110890621
2528.0,117,Useful Objects of American Design under $10,26/11/1940,1940,24/12/1940,moma.org/calendar/exhibitions/2789,Q110890622
3090.0,118,American Color Prints under $10,26/11/1940,1940,28/12/1940,moma.org/calendar/exhibitions/2995,Q110890623
3091.0,119,War Comes to the People: A Story Written With The Lens,10/12/1940,1940,05/01/1941,moma.org/calendar/exhibitions/2996,Q110890624
2668.0,120,We Like Modern Art,27/12/1940,1940,12/01/1941,moma.org/calendar/exhibitions/2830,Q110890626
3092.0,121,Sixty Photographs: A Survey of Camera Esthetics,31/12/1940,1940,12/01/1941,moma.org/calendar/exhibitions/2089,Q110890627
3093.0,122,Pavlova Memorial Exhibition,07/01/1941,1941,06/03/1941,moma.org/calendar/exhibitions/2997,Q110890628
3094.0,123,Indian Art of the United States,22/01/1941,1941,27/04/1941,moma.org/calendar/exhibitions/2998,Q30689520
3095.0,123a,American Scene: 35 Gouaches by Witold Gordon,31/01/1941,1941,14/02/1941,moma.org/calendar/exhibitions/2999,Q110890630
3096.0,124,New Acquisitions: American Painting and Sculpture,10/03/1941,1941,03/05/1941,moma.org/calendar/exhibitions/3000,Q110890631
3097.0,125,T.V.A. Architecture and Design,30/04/1941,1941,07/06/1941,moma.org/calendar/exhibitions/2087,Q110890632
2727.0,126,New Acquisitions: A Gift of Paintings from a Trustee,06/05/1941,1941,15/10/1941,moma.org/calendar/exhibitions/1915,Q110890633
2752.0,127,Painting and Sculpture from the Museum Collection,06/05/1941,1941,30/04/1941,moma.org/calendar/exhibitions/2867,Q110890634
2886.0,128,Understanding Modern Art,06/05/1941,1941,30/06/1941,moma.org/calendar/exhibitions/2912,Q110890635
3098.0,129,Still Photographs from Hollywood Studios,06/05/1941,1941,02/06/1941,moma.org/calendar/exhibitions/3001,Q110890636
3099.0,130,Britain at War,23/05/1941,1941,02/09/1941,moma.org/calendar/exhibitions/3002,Q110890637
2940.0,131,New Acquisitions: European Paintings,03/06/1941,1941,18/07/1941,moma.org/calendar/exhibitions/2924,Q110890638
2884.0,132,Sculpture and Sculptor's Drawings,03/06/1941,1941,18/07/1941,moma.org/calendar/exhibitions/2910,Q110890640
3100.0,133,A History of American Movies,05/06/1941,1941,03/10/1941,moma.org/calendar/exhibitions/3003,Q110890641
307.0,134,A History of the Modern Poster,11/06/1941,1941,26/06/1941,moma.org/calendar/exhibitions/2760,Q110890642
2637.0,135,Paul Klee,30/06/1941,1941,27/07/1941,moma.org/calendar/exhibitions/2816,Q110890643
3101.0,136,Animals in Art; Designing a Stage Setting,01/07/1941,1941,15/07/1941,moma.org/calendar/exhibitions/3004,Q110890644
3102.0,137,Abstract Painting; Shapes of Things,15/07/1941,1941,28/07/1941,moma.org/calendar/exhibitions/3005,Q110890645
2712.0,138,Masterpieces of Picasso,16/07/1941,1941,07/09/1941,moma.org/calendar/exhibitions/2848,Q110890646
3103.0,139,National Defense Poster Competition,16/07/1941,1941,07/09/1941,moma.org/calendar/exhibitions/3006,Q110890648
2655.0,140,"New Acquisitions: Fantastic Art, Dada, Surrealism",23/07/1941,1941,29/09/1941,moma.org/calendar/exhibitions/2827,Q110890649
3104.0,141,Preliminary Course of the Bauhaus,29/07/1941,1941,11/08/1941,moma.org/calendar/exhibitions/3007,Q110890650
3105.0,141a,Techniques of Painting,04/08/1941,1941,15/10/1941,moma.org/calendar/exhibitions/3008,Q110890651
3106.0,142,Stockholm Builds,04/08/1941,1941,08/09/1941,moma.org/calendar/exhibitions/3009,Q110890652
3107.0,143,American Watercolors; Lettering and Arrangements in Poster Design,12/08/1941,1941,25/08/1941,moma.org/calendar/exhibitions/3010,Q110890654
3108.0,144,Ancestral Sources of Modern Painting,26/08/1941,1941,15/09/1941,moma.org/calendar/exhibitions/3011,Q110890655
3109.0,145,Photographs by David Octavius Hill and Robert Adamson,09/09/1941,1941,19/10/1941,moma.org/calendar/exhibitions/3012,Q110890656
3110.0,146,The Wooden House in America,09/09/1941,1941,30/09/1941,moma.org/calendar/exhibitions/3013,Q110890657
3111.0,147,Twenty Lithographs: Graphic Art Processes,16/09/1941,1941,14/10/1941,moma.org/calendar/exhibitions/3014,Q110890658
272.0,148,Organic Design in Home Furnishings,24/09/1941,1941,09/11/1941,moma.org/calendar/exhibitions/1803,Q110890659
2612.0,149,"New Acquisition: Vincent van Gogh, The Starry Night",30/09/1941,1941,28/07/1943,moma.org/calendar/exhibitions/2803,Q110890660
2672.0,150,George Grosz,08/10/1941,1941,02/11/1941,moma.org/calendar/exhibitions/2831,Q110890661
3112.0,151,Buckminster Fuller's Dymaxion Deployment Unit,10/10/1941,1941,01/04/1942,moma.org/calendar/exhibitions/3015,Q110890662
3113.0,152,What is Modern Architecture: Tricks in Movie Making,14/10/1941,1941,27/10/1941,moma.org/calendar/exhibitions/3016,Q110890663
2597.0,153,Modern Primitives: Artists of the People,21/10/1941,1941,30/04/1944,moma.org/calendar/exhibitions/1703,Q110890664
3114.0,154,"Isadora Duncan: Drawings, Photographs, Memorabilia",21/10/1941,1941,10/01/1942,moma.org/calendar/exhibitions/3017,Q110890665
3115.0,155,Image of Freedom,29/10/1941,1941,01/02/1942,moma.org/calendar/exhibitions/3018,Q110890666
3116.0,156,Children of England Paint,06/11/1941,1941,30/11/1941,moma.org/calendar/exhibitions/3019,Q110890667
2897.0,157,Joan Miró,19/11/1941,1941,11/01/1942,moma.org/calendar/exhibitions/2915,Q110890668
3117.0,158,Salvador Dalí,19/11/1941,1941,11/01/1942,moma.org/calendar/exhibitions/2085,Q110890669
3118.0,159,"Architecture of Eric Mendelsohn, 1914–1940",26/11/1941,1941,04/01/1942,moma.org/calendar/exhibitions/2092,Q110890670
2529.0,160,Useful Objects Under $10,02/12/1941,1941,04/01/1942,moma.org/calendar/exhibitions/2790,Q110890671
3119.0,161,Silk Screen Prints Under $10,02/12/1941,1941,04/01/1942,moma.org/calendar/exhibitions/3020,Q110890672
3120.0,162,American Photographs at $10,03/12/1941,1941,04/01/1942,moma.org/calendar/exhibitions/3021,Q110890673
3121.0,163,Introduction to Modern Painting: Modern Posters,03/12/1941,1941,07/12/1941,moma.org/calendar/exhibitions/3022,Q110890674
3122.0,163a,"Sculpture by Maillol, to Celebrate his 80th Birthday",08/12/1941,1941,,moma.org/calendar/exhibitions/3023,Q110890675
3123.0,164,Pictures for Children,10/12/1941,1941,25/01/1942,moma.org/calendar/exhibitions/3024,Q110890676
3124.0,165,New Acquisitions: Latin-American Art,13/01/1942,1942,15/02/1942,moma.org/calendar/exhibitions/3025,Q110890677
3125.0,166,New Acquisitions: Photographs,13/01/1942,1942,25/02/1942,moma.org/calendar/exhibitions/3026,Q110890678
3126.0,167,Dancers in Movement: Photographs by Gjon Mili,13/01/1942,1942,09/04/1942,moma.org/calendar/exhibitions/3027,Q110890679
3127.0,168,Americans 1942: 18 Artists from 9 States,21/01/1942,1942,08/03/1942,moma.org/calendar/exhibitions/3028,Q110890681
2877.0,169,The Artists' New York,28/01/1942,1942,02/03/1942,moma.org/calendar/exhibitions/2904,Q110890682
3128.0,170,"U.S. Army Illustrators of Fort Custer, Michigan",04/02/1942,1942,10/03/1942,moma.org/calendar/exhibitions/3029,Q110890683
3129.0,171,New Acquisitions: American Drawings,18/02/1942,1942,05/04/1942,moma.org/calendar/exhibitions/3030,Q110890684
